,mean_abs_shap
log_RV,0.23883195
ATR14,0.17988649
YC_SLOPE_10Y_2Y,0.06524021
NASDAQ,0.05786229
LOG_DIFFICULTY,0.057431165
FTSE100,0.04993359
BB_WIDTH,0.04264137
OBV,0.041672397
EEM,0.039220292
VIX,0.03696841
SILVER,0.036958143
SSE,0.036324006
DXY,0.03583171
D_HY_OAS,0.035475645
LQD,0.03514816
GOLD,0.03111838
IEF,0.030444166
DOW30,0.02753694
TLT,0.025467936
OIL,0.025289152
LOG_HASH_RATE,0.024812695
SP500,0.023931893
DLOG_AVG_TX_VALUE_USD,0.023532867
HYG,0.021863436
DLOG_EST_TX_VOL_USD,0.020637687
EMA200,0.019440576
EMA10,0.016631348
EMA30,0.013836907
D_DGS10,0.012988645
D_DGS2,0.012634956
DLOG_UNIQUE_ADDR,0.010739772
DLOG_FEES_USD,0.010453483
RSI14,0.009104592
ROC10,0.008652446
STOCH_K,0.0072799125
DLOG_HASH_RATE,0.006781508
DLOG_AVG_BLOCK_SIZE,0.0059451982
DLOG_MINERS_REV_USD,0.005164374
MOM10,0.0047943494
DLOG_FEES_USD_PER_TX,0.0042542918
DLOG_TX_COUNT,0.0031596015
DLOG_MED_CONFIRM_TIME,0.0024414726
DLOG_DIFFICULTY,0.00097109796
D_EFFR,0.0009331257
