,mean_abs_coef
log_RV,0.401145337299848
DLOG_EST_TX_VOL_USD,0.1627962899856921
YC_SLOPE_10Y_2Y,0.08293435667145813
DLOG_UNIQUE_ADDR,0.06479286804160403
ATR14,0.04420061938938968
DLOG_FEES_USD,0.04411280727801717
BB_WIDTH,0.02843148125442585
OBV,0.01808245458993741
D_EFFR,0.01694847493719908
EEM,0.010449942170362103
VIX,0.009717843611452547
FTSE100,0.0064208050170063554
TLT,0.005579123419792803
DLOG_FEES_USD_PER_TX,0.002263399607736605
D_HY_OAS,0.0020988085400466426
DLOG_TX_COUNT,0.0008384504993159798
LOG_DIFFICULTY,0.0003863306667366825
DOW30,3.885005257238148e-05
RSI14,2.9580631053821755e-05
DLOG_MINERS_REV_USD,8.554490546281958e-06
NASDAQ,5.953625214175545e-06
D_DGS10,0.0
DLOG_AVG_TX_VALUE_USD,0.0
STOCH_K,0.0
SP500,0.0
SSE,0.0
ROC10,0.0
MOM10,0.0
EMA200,0.0
EMA30,0.0
EMA10,0.0
DLOG_MED_CONFIRM_TIME,0.0
D_DGS2,0.0
DLOG_AVG_BLOCK_SIZE,0.0
OIL,0.0
DXY,0.0
GOLD,0.0
SILVER,0.0
IEF,0.0
DLOG_DIFFICULTY,0.0
HYG,0.0
LQD,0.0
LOG_HASH_RATE,0.0
DLOG_HASH_RATE,0.0
