,mean_abs_coef
log_RV,0.41860051831237816
YC_SLOPE_10Y_2Y,0.05547416663062143
DLOG_DIFFICULTY,0.0
DLOG_TX_COUNT,0.0
DLOG_UNIQUE_ADDR,0.0
DLOG_EST_TX_VOL_USD,0.0
DLOG_FEES_USD,0.0
DLOG_FEES_USD_PER_TX,0.0
DLOG_AVG_BLOCK_SIZE,0.0
DLOG_MED_CONFIRM_TIME,0.0
DLOG_AVG_TX_VALUE_USD,0.0
EMA10,0.0
EMA30,0.0
EMA200,0.0
RSI14,0.0
MOM10,0.0
ROC10,0.0
ATR14,0.0
BB_WIDTH,0.0
OBV,0.0
STOCH_K,0.0
DLOG_MINERS_REV_USD,0.0
DOW30,0.0
FTSE100,0.0
TLT,0.0
NASDAQ,0.0
SP500,0.0
SSE,0.0
VIX,0.0
OIL,0.0
DXY,0.0
GOLD,0.0
SILVER,0.0
IEF,0.0
LOG_DIFFICULTY,0.0
HYG,0.0
LQD,0.0
EEM,0.0
D_DGS2,0.0
D_DGS10,0.0
D_EFFR,0.0
D_HY_OAS,0.0
LOG_HASH_RATE,0.0
DLOG_HASH_RATE,0.0
