,mean_abs_coef
log_RV,0.44712532758126244
YC_SLOPE_10Y_2Y,0.1011467675043849
DLOG_EST_TX_VOL_USD,0.06550594166619239
DLOG_MED_CONFIRM_TIME,0.05101642508558717
DLOG_UNIQUE_ADDR,0.03396524903592979
DLOG_FEES_USD,0.02472319006246788
OBV,0.02375044460444246
D_EFFR,0.020930215698742063
DXY,0.01830775625208287
DLOG_HASH_RATE,0.012676749105240036
DOW30,0.005971095398066599
EMA10,0.005040904608387525
NASDAQ,0.0048788344791771115
DLOG_AVG_BLOCK_SIZE,0.004063249707490161
SSE,0.0029595716761488637
D_DGS10,0.0014061018410679565
HYG,0.0013555810547225614
EMA30,0.0012113196337752757
EEM,0.000896572530207166
LOG_DIFFICULTY,0.0008515902164308776
RSI14,0.0006006306766780248
D_HY_OAS,0.0003521151538207702
LOG_HASH_RATE,0.0003092841809185451
STOCH_K,0.00014349349494568095
FTSE100,7.88437729629543e-05
D_DGS2,6.195798638735655e-06
DLOG_AVG_TX_VALUE_USD,0.0
ATR14,0.0
ROC10,0.0
MOM10,0.0
EMA200,0.0
BB_WIDTH,0.0
TLT,0.0
SP500,0.0
DLOG_FEES_USD_PER_TX,0.0
IEF,0.0
OIL,0.0
DLOG_TX_COUNT,0.0
DLOG_MINERS_REV_USD,0.0
DLOG_DIFFICULTY,0.0
GOLD,0.0
SILVER,0.0
LQD,0.0
VIX,0.0
