,mean_abs_shap
log_RV,0.2819475440978302
ATR14,0.12721466336081927
LOG_DIFFICULTY,0.09831812574419133
YC_SLOPE_10Y_2Y,0.06684312053533206
OBV,0.029203885619075474
SSE,0.02782042489917491
FTSE100,0.025176522238816668
DOW30,0.022890867604544226
NASDAQ,0.02030327808849072
BB_WIDTH,0.019799910875056146
IEF,0.019434645412156823
LOG_HASH_RATE,0.01913254172241372
OIL,0.01894500136688325
D_DGS2,0.01810968264189721
EEM,0.017909458118618358
VIX,0.017497200353162084
SP500,0.01723971811032553
TLT,0.01614623035828638
HYG,0.016057568277891534
GOLD,0.015829437614500036
LQD,0.015489995915516612
D_HY_OAS,0.015450169659580796
DXY,0.01489439854114603
SILVER,0.013245934097165278
D_DGS10,0.012841300561381438
EMA10,0.012159877744467274
RSI14,0.011964092788797998
EMA200,0.011954233657124076
EMA30,0.01158331831671859
MOM10,0.01017361318296012
STOCH_K,0.009972375333147637
ROC10,0.009375270395133192
DLOG_AVG_TX_VALUE_USD,0.00930978443159958
DLOG_EST_TX_VOL_USD,0.006378961762902471
DLOG_AVG_BLOCK_SIZE,0.005228216840542352
DLOG_MED_CONFIRM_TIME,0.0051767983328641284
DLOG_HASH_RATE,0.005090054305822432
DLOG_MINERS_REV_USD,0.004533569387395978
DLOG_FEES_USD,0.004530467850369222
DLOG_FEES_USD_PER_TX,0.003875306679874594
DLOG_UNIQUE_ADDR,0.0038076265772114424
DLOG_TX_COUNT,0.0037689874427788306
DLOG_DIFFICULTY,0.0025585367711241053
D_EFFR,0.0011302371655882901
