,mean_abs_shap
ATR14,0.23712165438200403
log_RV,0.2034814838088775
LOG_DIFFICULTY,0.07942015412888456
LOG_HASH_RATE,0.04552423777756903
YC_SLOPE_10Y_2Y,0.040436109358320524
SSE,0.033292706669326766
OBV,0.029439003981226133
FTSE100,0.029399473075051797
BB_WIDTH,0.028452314889188857
D_HY_OAS,0.026062749002941362
EEM,0.025247396756353575
GOLD,0.025223171895294615
OIL,0.025214857162384047
DLOG_AVG_TX_VALUE_USD,0.024536745032103846
DXY,0.021954380924745692
SILVER,0.01950481952520961
LQD,0.01950251309205741
NASDAQ,0.018320825795646395
DOW30,0.017070275140752204
TLT,0.016687826901347763
SP500,0.016366689645929296
HYG,0.016110347772684164
VIX,0.015645400299714066
IEF,0.01553053897792844
DLOG_EST_TX_VOL_USD,0.014250122110942703
RSI14,0.013460437167987945
STOCH_K,0.012925430977205122
EMA200,0.01158940191822922
ROC10,0.010415650667593297
EMA10,0.00947194150846612
MOM10,0.009025567788364603
D_DGS2,0.008844736350988331
EMA30,0.008764366571551135
D_DGS10,0.008262289822811384
DLOG_AVG_BLOCK_SIZE,0.007934130940286879
DLOG_UNIQUE_ADDR,0.007093787215006406
DLOG_HASH_RATE,0.005600766206819567
DLOG_FEES_USD_PER_TX,0.005031407931185835
DLOG_FEES_USD,0.004697839345496402
DLOG_MINERS_REV_USD,0.004538929527471611
DLOG_MED_CONFIRM_TIME,0.0039559974979573725
DLOG_TX_COUNT,0.003531052321191157
DLOG_DIFFICULTY,0.0022301272739749206
D_EFFR,0.0005976840827075995
