,mean_abs_shap
log_RV,0.1612033330681058
YC_SLOPE_10Y_2Y,0.0946829405049043
LOG_DIFFICULTY,0.09148507897036644
ATR14,0.08223013007624681
LOG_HASH_RATE,0.037927922582717453
OBV,0.03231231200094162
FTSE100,0.029412513977666668
HYG,0.02552901859891849
DOW30,0.02456726062631817
BB_WIDTH,0.023794251563630693
SSE,0.02365694614536171
NASDAQ,0.021440281717546156
EEM,0.021157173258489398
VIX,0.021135402437130055
GOLD,0.020968966732433886
IEF,0.0202575535730603
OIL,0.020188135670840802
LQD,0.019755077535489423
EMA30,0.019331626600654392
EMA200,0.019327892978847842
EMA10,0.01927936904271257
SP500,0.01914535410292129
D_DGS2,0.01908604818924839
SILVER,0.018740265824097515
TLT,0.01834320921513535
DXY,0.017652667061399008
D_HY_OAS,0.01480922016499223
D_DGS10,0.014322107593796466
RSI14,0.010014164200394712
MOM10,0.009873898050257313
STOCH_K,0.009438866387355343
ROC10,0.0091847447453805
DLOG_AVG_TX_VALUE_USD,0.008230014609542058
DLOG_MED_CONFIRM_TIME,0.005667767407386994
DLOG_EST_TX_VOL_USD,0.005657919290512974
DLOG_HASH_RATE,0.004983621361092898
DLOG_AVG_BLOCK_SIZE,0.004645132691198047
DLOG_FEES_USD,0.004247015706218137
DLOG_UNIQUE_ADDR,0.0041700738738609175
DLOG_TX_COUNT,0.0036750988395403104
DLOG_MINERS_REV_USD,0.0034288620278135015
DLOG_FEES_USD_PER_TX,0.0033833499554292205
DLOG_DIFFICULTY,0.0016970345773004193
D_EFFR,0.0007806247872042998
