h,best_n_estimators,best_max_depth,best_lr,best_subsample,best_colsample,best_cv_rmse
1,174,2,0.1,0.7,0.5,0.8199581742286682
3,73,2,0.1,0.5,0.5,0.9657340288162232
5,40,2,0.1,0.5,0.5,0.9531055569648743
7,84,2,0.1,0.5,0.5,0.9619757294654846
