h,best_units,best_epoch,best_val_loss,dropout,lr,batch_size
1,64,75,0.9841431379318237,0.2,0.001,64
3,16,66,1.7742193937301636,0.2,0.001,64
5,16,47,1.2774335145950317,0.2,0.001,64
7,64,6,1.400542140007019,0.2,0.001,64
