date,actual_y_h1,lasso_bic_y_h1,lasso_bic_var_count_y_h1,lasso_aic_y_h1,lasso_aic_var_count_y_h1,lasso_cv_y_h1,lasso_cv_var_count_y_h1,lasso_val_y_h1,lasso_val_var_count_y_h1,ridge_cv_y_h1,ridge_val_y_h1
2024-06-29,-8.047431954150777,-8.423861467464112,15,-8.45929567278648,31,-8.451505946722191,29,-8.466281672625756,42,-8.253138877071098,-8.289454132407315
2024-06-30,-8.0094388103616,-7.8777322142807895,15,-7.880712336307379,31,-7.887757122119828,28,-7.8677125265442704,42,-7.941802258218828,-7.931346107382317
2024-07-01,-8.415744212880016,-7.867873862014158,14,-7.924622796821742,32,-7.915910531396872,29,-7.956155470648833,43,-8.025308371673244,-8.02795105986409
2024-07-02,-7.590110308893971,-8.130142678027068,14,-8.191500199500553,33,-8.181983657868132,30,-8.21546730296658,44,-8.36719641996349,-8.402270148237692
2024-07-03,-6.7568326341271066,-7.633736843389427,15,-7.738133298749487,33,-7.730156157710971,30,-7.74848092053111,43,-7.803379412135117,-7.789237021912612
2024-07-04,-6.028709939198225,-7.261324935224853,14,-7.37485992406525,33,-7.350838302184602,30,-7.412019363957949,46,-7.652451019880658,-7.636177292669879
2024-07-05,-7.82183717488344,-6.812510314387363,14,-6.7954156306079385,33,-6.799783963838557,29,-6.7802075309634615,47,-6.819506024809343,-6.793516844283303
2024-07-06,-7.599232953126869,-7.768434720625826,14,-7.772757296890166,33,-7.769171823446113,28,-7.779921301447799,48,-7.780858520884184,-7.8237448092526085
2024-07-07,-6.201600022028114,-7.495710880881299,14,-7.506655025385574,33,-7.504039430881827,28,-7.504836535087164,47,-7.449308344497252,-7.442975690974682
2024-07-08,-7.13201098663784,-6.7617641551688505,14,-6.820746073692221,33,-6.812813395213128,27,-6.812656669638637,47,-6.853566952592845,-6.8132330541579975
2024-07-09,-7.364155934126495,-7.351332694768899,14,-7.35616647021241,32,-7.352775510337038,27,-7.357856267915709,47,-7.5074452446488165,-7.484937606799566
2024-07-10,-6.970855511693713,-7.246309572390609,14,-7.182011401687291,32,-7.1795473496349445,27,-7.188641279152391,46,-7.161493770040309,-7.144281146745672
2024-07-11,-7.461112349654011,-7.126139585079297,14,-7.09838003521501,32,-7.107548374413362,27,-7.079193967598044,46,-6.981589979212541,-6.947045098564231
2024-07-12,-8.001579020126183,-7.498122730632265,14,-7.5484971586295515,33,-7.543635535302966,27,-7.565878872532529,48,-7.61711401679631,-7.62980146485235
2024-07-13,-7.503141944073601,-7.73319418806125,14,-7.7437281103550495,32,-7.7431146623353255,27,-7.741002470988133,47,-7.82154877947261,-7.823259512678002
2024-07-14,-7.10151927124952,-7.216256583240792,14,-7.22765488847804,32,-7.219050148851497,27,-7.252357357755346,48,-7.359244561630012,-7.373632296818878
2024-07-15,-6.875117452289596,-7.157042814095437,14,-7.1052307704766955,32,-7.105963541997547,27,-7.1093323784406985,47,-7.248756754989417,-7.259379746413838
2024-07-16,-7.273310670983561,-7.057889768216496,14,-7.037099490707984,32,-7.031955254133739,27,-7.046262068187478,48,-7.21644375085433,-7.205111618836233
2024-07-17,-7.590004120123674,-7.288269296916228,14,-7.245658366037681,32,-7.249011097947344,27,-7.223922433660134,47,-6.919615689487989,-6.932500972429071
2024-07-18,-7.361953880672214,-7.5847478415393565,15,-7.5566190300075124,32,-7.561328550147906,27,-7.5325345275397915,47,-7.354776038397589,-7.327021084238827
2024-07-19,-8.183252874840827,-7.467107521722218,14,-7.510912996870126,32,-7.5028891903321915,27,-7.533672931654751,47,-7.642349721725479,-7.630706704485633
2024-07-20,-7.540508981035038,-7.863426152728036,15,-7.8463680358480605,36,-7.8599314144776,29,-7.820945851730075,47,-7.827560861761552,-7.853575639095046
2024-07-21,-7.83106890907229,-7.517190012628495,15,-7.455184343016466,36,-7.4567427907351105,30,-7.464693182923471,45,-7.537168220177056,-7.502867351276194
2024-07-22,-7.504319171318432,-7.5233232713399545,15,-7.49730862514629,36,-7.501610816063112,30,-7.490524787590112,47,-7.389049750951218,-7.378892148920098
2024-07-23,-7.715830478728725,-7.453293840773818,15,-7.455969032658426,36,-7.463593726834721,30,-7.446537332131843,47,-7.445110661364677,-7.456690799511372
2024-07-24,-7.111101362030015,-7.601662116475692,15,-7.663931904671164,35,-7.6401233572584895,30,-7.713070610255237,46,-7.906354555158109,-7.935104843461958
2024-07-25,-7.731151246587125,-7.337465836975048,15,-7.414077520375219,35,-7.401714317441959,30,-7.449919020199208,46,-7.689534260433299,-7.700948502220344
2024-07-26,-6.6745965844828605,-7.842659364758378,15,-7.989196586919091,35,-7.979553658854726,30,-7.99905891934595,44,-8.082102551326347,-8.081235192441037
2024-07-27,-8.297723232050007,-7.211707716931825,15,-7.293437367226166,35,-7.2756745548269866,28,-7.343448831433383,46,-7.715684902458481,-7.658624354836259
2024-07-28,-7.220642471062432,-7.856354223117818,15,-7.819931655904572,34,-7.82849439707976,29,-7.807168481280903,46,-7.909684265237813,-7.938520272873816
2024-07-29,-7.567743991658627,-7.297572995348474,14,-7.289219260009512,35,-7.2844078526941995,30,-7.29489498599991,45,-7.378890600959712,-7.348594328246148
2024-07-30,-7.537578973039193,-7.475919646207908,14,-7.481668568179022,36,-7.482024337598753,29,-7.484050033505133,46,-7.30731554249769,-7.303714581558546
2024-07-31,-7.134693601377736,-7.591773403162112,14,-7.68436922182386,36,-7.671109999740981,29,-7.704214934685618,46,-7.769431355729919,-7.77768254749201
2024-08-01,-6.728020741506768,-7.245935741243153,14,-7.229821598825025,36,-7.235120805841484,29,-7.225463920493794,47,-7.361989803358748,-7.343536302077802
2024-08-02,-7.102715268773577,-7.158332390170324,15,-7.010733649332601,36,-7.0438059567925055,29,-6.965858015976333,46,-6.904775090812622,-6.917749914161801
2024-08-03,-6.901570663299103,-7.239372668227764,15,-7.133548420690122,36,-7.148367736151263,29,-7.087160642487341,46,-6.99009298449952,-6.968086882523343
2024-08-04,-4.331832929576587,-7.086224775526056,15,-7.000641048036604,37,-6.992345074686517,30,-7.005734198097669,46,-6.982478955541015,-6.969904142728261
2024-08-05,-6.129507554817753,-5.635397846135098,16,-5.372336812883992,35,-5.402913783812318,30,-5.298679672927645,46,-5.241865339890094,-5.087717428284353
2024-08-06,-6.56821202032419,-6.691513338258536,16,-6.725100705878639,34,-6.7167971158009125,30,-6.739971203967862,47,-6.8612781039280275,-6.864964428217139
2024-08-07,-5.881456842610719,-6.709089662255661,16,-6.634183704951944,34,-6.654972254354278,30,-6.616865330968468,46,-6.696554481428112,-6.670318476970572
