horizon,lasso_bic_alpha,lasso_aic_alpha,lasso_cv_alpha,lasso_val_alpha,ridge_cv_alpha,ridge_val_alpha
y_h1,0.055476089981352776,0.027033873699438507,0.030198275947745733,0.022051307399030457,187.3817422860383,114.9756995397738
y_h3,0.04739838670347995,0.032917564161034134,0.024277895990290135,0.04641588833612782,497.7023564332114,6892.61210434971
y_h5,0.07804125391228318,0.027822574012126646,0.028316864330261572,0.1176811952434999,497.7023564332114,4750.810162102803
y_h7,0.07739054618125932,0.02845518117509142,0.03016487682866866,0.09770099572992257,376.49358067924715,242.01282647943833
