date,actual_y_h7,lasso_bic_y_h7,lasso_bic_var_count_y_h7,lasso_aic_y_h7,lasso_aic_var_count_y_h7,lasso_cv_y_h7,lasso_cv_var_count_y_h7,lasso_val_y_h7,lasso_val_var_count_y_h7,ridge_cv_y_h7,ridge_val_y_h7
2024-06-29,-7.82183717488344,-8.228431381326974,2,-8.279313866177334,32,-8.280375601622065,30,-8.199039143482484,2,-8.044740758643178,-8.095141303680174
2024-06-30,-7.599232953126869,-7.796977712004953,2,-7.811928755582029,33,-7.81788934477418,32,-7.779651479793506,2,-7.785238362874148,-7.7873574137402075
2024-07-01,-6.201600022028114,-7.759291168255459,2,-7.668630455721908,34,-7.673510095027363,33,-7.743437393387557,2,-7.5314054088649955,-7.510906814804514
2024-07-02,-7.13201098663784,-7.923588947850721,2,-7.9931618298894636,34,-7.989467102181988,33,-7.903008964956345,2,-7.9231048080583175,-7.952924019181505
2024-07-03,-7.364155934126495,-7.584947200750747,2,-7.686310456519033,35,-7.681800626667169,33,-7.5740670138961566,2,-7.835413026336593,-7.823445415270981
2024-07-04,-6.970855511693713,-7.220452013075809,2,-7.273814908709615,34,-7.270060840856237,33,-7.220415697082434,2,-7.528598224575818,-7.497071002633954
2024-07-05,-7.461112349654011,-6.9284309516585685,2,-6.939129968131438,34,-6.933387693069324,33,-6.936691400055338,2,-7.266264760670865,-7.236799126591047
2024-07-06,-8.001579020126183,-7.680247267989562,3,-7.687231070999006,34,-7.691170133103878,33,-7.66668686309769,2,-7.455875867297412,-7.4564472250970155
2024-07-07,-7.503141944073601,-7.589896472171814,3,-7.5932732863211925,34,-7.592792013674453,33,-7.57899650791089,2,-7.756337425779871,-7.769118507931338
2024-07-08,-7.10151927124952,-7.009692454434671,3,-6.986253695713158,34,-6.989888931668222,33,-7.015885304787103,2,-7.087234592690352,-7.037968825318741
2024-07-09,-6.875117452289596,-7.388750766166111,3,-7.453872529198319,34,-7.454767183385739,33,-7.383972922367341,2,-7.440949183697009,-7.39926746715139
2024-07-10,-7.273310670983561,-7.483025834369605,3,-7.5425085489557935,33,-7.539303643549841,32,-7.47547658076387,2,-7.534635048802747,-7.521707942184407
2024-07-11,-7.590004120123674,-7.330215344849377,3,-7.3726206090168525,33,-7.369415108508147,32,-7.327027507852271,2,-7.38218948221298,-7.3604181224995475
2024-07-12,-7.361953880672214,-7.523366655613213,3,-7.56641013988372,33,-7.563604544318126,32,-7.514707825971508,2,-7.5773217303380385,-7.5906106873602734
2024-07-13,-8.183252874840827,-7.750615824549676,3,-7.903265061532408,33,-7.902348159596288,32,-7.734633849430925,2,-7.829519025835415,-7.831329466309077
2024-07-14,-7.540508981035038,-7.534521831709251,2,-7.548855032279518,33,-7.5517151160988245,32,-7.525764185521161,2,-7.458459729651222,-7.484195579612067
2024-07-15,-7.83106890907229,-7.3620751892592775,2,-7.365629571360363,33,-7.3730758925037225,31,-7.358653252989531,2,-7.264238866725422,-7.249238840893727
