model,h,rmse,r2,n_estimators,max_features,n_predictors
RandomForest,1,0.7081855972174668,0.3742350660276762,500,0.827557613,176
RandomForest,3,0.7582058663660982,0.2916233705799426,500,0.955642876,176
RandomForest,5,0.7144502550306545,0.3763041601606494,500,0.240416776,176
RandomForest,7,0.7185517271385122,0.36442856488098263,500,0.118526045,176
