,mean_perm_importance
log_RV,0.12844423981784311
D_EFFR,0.02188754477756144
DLOG_HASH_RATE,0.020242493698468474
DLOG_EST_TX_VOL_USD,0.019857798411711976
ATR14,0.019275191049335068
YC_SLOPE_10Y_2Y,0.018970144419408787
DLOG_AVG_TX_VALUE_USD,0.018626284063051765
DLOG_UNIQUE_ADDR,0.01812245658080305
DLOG_MED_CONFIRM_TIME,0.01755216251148911
DLOG_AVG_BLOCK_SIZE,0.01751831924186398
EEM,0.016028106769622415
D_HY_OAS,0.01587546878643261
BB_WIDTH,0.01563491736929784
D_DGS2,0.015472443901664853
OBV,0.015393959512970672
D_DGS10,0.01517951653105539
DLOG_DIFFICULTY,0.015095095462168891
SSE,0.01498390855007865
TLT,0.014926610089415692
DOW30,0.014803315825407011
DXY,0.014716650427069754
IEF,0.014556707288218554
HYG,0.01450202840922706
DLOG_FEES_USD,0.014285416958600975
OIL,0.014264141644239196
GOLD,0.014194671946683753
MOM10,0.01391991231886954
VIX,0.013858076082079543
FTSE100,0.013753501048186588
SP500,0.013748048191016441
RSI14,0.013740946561908354
LQD,0.013646795024794623
NASDAQ,0.013563387521459509
DLOG_TX_COUNT,0.013545549040359343
SILVER,0.013433528702977914
DLOG_MINERS_REV_USD,0.013301243116563652
LOG_DIFFICULTY,0.013276112287301274
EMA10,0.013244182189442238
EMA30,0.013240083495428339
EMA200,0.013117567789070259
DLOG_FEES_USD_PER_TX,0.012891782085563488
ROC10,0.012844884445259157
STOCH_K,0.012411847295821133
LOG_HASH_RATE,0.012181541831251416
