,mean_perm_importance
log_RV,0.37677993670881765
DLOG_UNIQUE_ADDR,0.02922182138726778
IEF,0.028578737277429236
EEM,0.026480723652575734
DLOG_EST_TX_VOL_USD,0.022776523139620856
VIX,0.01752436748609504
RSI14,0.01744732044495435
NASDAQ,0.01656677213569543
DLOG_AVG_TX_VALUE_USD,0.015505061397249257
LQD,0.012064634009546363
ATR14,0.011658643612238305
DXY,0.011369293746044154
DLOG_TX_COUNT,0.010558154566442742
D_DGS10,0.009084659380841638
STOCH_K,0.008946524307046906
GOLD,0.007942233328617116
MOM10,0.007609095788078248
BB_WIDTH,0.007550058627105807
HYG,0.007509857653453136
ROC10,0.0064494401131031795
DLOG_FEES_USD,0.005748897825437339
D_DGS2,0.005723259163793633
LOG_DIFFICULTY,0.005518653321566292
D_HY_OAS,0.0054853759954823535
DLOG_FEES_USD_PER_TX,0.005456304469551121
SSE,0.0050511494901220875
DOW30,0.004794183733649676
DLOG_HASH_RATE,0.0047637452301001176
TLT,0.004421633232569125
DLOG_MINERS_REV_USD,0.004410045661749637
FTSE100,0.004190164346552285
SILVER,0.003885513628911288
OBV,0.0034835834751253867
DLOG_MED_CONFIRM_TIME,0.003313038617508034
DLOG_DIFFICULTY,0.003271961265935669
YC_SLOPE_10Y_2Y,0.003091958676389423
LOG_HASH_RATE,0.002968751508128637
D_EFFR,0.0027088764433409467
SP500,0.001383891184640509
OIL,0.0011657705140740418
DLOG_AVG_BLOCK_SIZE,0.0008105202113743523
EMA200,0.0006799937244481776
EMA10,0.0005661920742782413
EMA30,0.0005509852348866493
