h,rmse,r2,units,epochs
1,0.7851209400183462,0.23088697876351616,128,66
3,0.946351030368772,-0.10355621922312297,16,61
5,0.944629110447679,-0.09031379280922636,16,58
7,0.9590478788265979,-0.13221491906241667,16,56
