model,h,rmse,r2,alpha
LASSO,1,0.7137000403388071,0.36445181106507574,0.0200923300256504
LASSO,3,0.8168025089961398,0.17790109408273702,0.0533669923120631
LASSO,5,0.7624413124237491,0.2897001931757722,0.1232846739442065
LASSO,7,0.7547953349905697,0.2986953642359883,0.0403701725859655
