,mean_abs_shap
log_RV,0.37497854
ATR14,0.12982209
VIX,0.082370624
BB_WIDTH,0.075207464
SILVER,0.06721301
FTSE100,0.06323247
YC_SLOPE_10Y_2Y,0.056585655
LQD,0.053533036
DXY,0.05130862
TLT,0.04923667
D_HY_OAS,0.049217455
GOLD,0.049072824
IEF,0.048762836
LOG_DIFFICULTY,0.04413149
NASDAQ,0.04330685
DLOG_EST_TX_VOL_USD,0.036703117
SP500,0.036601108
DOW30,0.036098428
DLOG_AVG_TX_VALUE_USD,0.034135893
SSE,0.033640712
HYG,0.03089666
OBV,0.030443097
EEM,0.029599147
LOG_HASH_RATE,0.027037816
STOCH_K,0.026897678
RSI14,0.026419377
OIL,0.026399445
DLOG_UNIQUE_ADDR,0.025096724
DLOG_FEES_USD,0.023402266
D_DGS2,0.021331696
D_DGS10,0.018605426
ROC10,0.016579386
EMA200,0.015634796
DLOG_AVG_BLOCK_SIZE,0.015222268
DLOG_FEES_USD_PER_TX,0.014867768
MOM10,0.014722743
DLOG_HASH_RATE,0.014143701
EMA10,0.0128390435
EMA30,0.010533823
DLOG_MED_CONFIRM_TIME,0.010328963
DLOG_TX_COUNT,0.009929791
DLOG_MINERS_REV_USD,0.008388889
DLOG_DIFFICULTY,0.0043220576
D_EFFR,0.00027827593
