,mean_abs_shap
log_RV,0.28710952
ATR14,0.12125988
YC_SLOPE_10Y_2Y,0.062781274
LOG_DIFFICULTY,0.05463463
FTSE100,0.036240768
SSE,0.03462336
OBV,0.034548167
D_DGS2,0.027802568
NASDAQ,0.024377514
DOW30,0.023419801
LQD,0.016672516
OIL,0.016419046
D_HY_OAS,0.015551992
DXY,0.014987326
LOG_HASH_RATE,0.014823556
SP500,0.014693868
IEF,0.014621264
EEM,0.014327912
TLT,0.013497785
EMA30,0.013118098
HYG,0.012368453
EMA10,0.011988499
SILVER,0.011048062
VIX,0.010212756
EMA200,0.008072472
GOLD,0.0079216575
D_DGS10,0.0071851704
BB_WIDTH,0.006701864
DLOG_AVG_TX_VALUE_USD,0.004390279
DLOG_EST_TX_VOL_USD,0.0037485415
STOCH_K,0.002892463
DLOG_AVG_BLOCK_SIZE,0.002811148
RSI14,0.0027309495
DLOG_HASH_RATE,0.002026819
MOM10,0.0019081173
ROC10,0.001303735
DLOG_MED_CONFIRM_TIME,0.0011174014
DLOG_MINERS_REV_USD,0.0011145555
DLOG_TX_COUNT,0.0009702444
DLOG_UNIQUE_ADDR,0.0007722605
DLOG_FEES_USD_PER_TX,0.0007482639
DLOG_FEES_USD,0.0007073945
D_EFFR,0.00057392556
DLOG_DIFFICULTY,0.00056721934
