,mean_abs_shap
log_RV,0.26257923
YC_SLOPE_10Y_2Y,0.113164
ATR14,0.08595473
LOG_DIFFICULTY,0.07213611
FTSE100,0.06286807
OBV,0.053487036
SSE,0.051508177
HYG,0.04924455
LOG_HASH_RATE,0.036197726
DOW30,0.03305457
D_DGS2,0.0324312
GOLD,0.031105362
OIL,0.028457342
DXY,0.028204113
EMA10,0.026285158
EMA30,0.025446652
NASDAQ,0.025259793
TLT,0.021971835
SP500,0.021875225
EEM,0.021745132
LQD,0.021544276
VIX,0.021278836
SILVER,0.020578196
EMA200,0.019200988
IEF,0.018894939
BB_WIDTH,0.018530782
D_HY_OAS,0.01761711
RSI14,0.0151866535
STOCH_K,0.015101401
DLOG_MED_CONFIRM_TIME,0.014460406
ROC10,0.012546256
DLOG_HASH_RATE,0.012527655
MOM10,0.011712655
D_DGS10,0.011223865
DLOG_AVG_BLOCK_SIZE,0.011190795
DLOG_AVG_TX_VALUE_USD,0.010157137
DLOG_FEES_USD,0.009044871
DLOG_EST_TX_VOL_USD,0.007567911
DLOG_UNIQUE_ADDR,0.006512958
DLOG_MINERS_REV_USD,0.0034077752
DLOG_FEES_USD_PER_TX,0.0025450676
DLOG_TX_COUNT,0.0024106775
D_EFFR,0.0015880889
DLOG_DIFFICULTY,0.0015864288
