model,h,rmse,r2,n_estimators,max_depth,learning_rate,subsample,colsample_bytree
XGBoost,1,0.6801522620033534,0.422795994292963,186,3,0.05,0.7,1.0
XGBoost,3,0.7605954782034073,0.28715120084856427,57,3,0.1,0.7,0.7
XGBoost,5,0.7363091191574179,0.33755593345077184,19,3,0.1,1.0,1.0
XGBoost,7,0.7413133157036733,0.32352477270733504,17,3,0.1,0.7,1.0
