date,DOW30,FTSE100,NASDAQ,SP500,SSE,VIX,OIL
2021-01-05,0.005533549647660507,0.006128552311137625,0.009445367756788059,0.00705763138336124,0.007315257062257885,-0.06234093077742031,0.04751536437621917
2021-01-06,0.014302551228400517,0.03413393512331098,-0.006116661203076745,0.005693603382475487,0.006271588317074972,-0.010712280917359429,0.013369449860172189
2021-01-07,0.006844334160799548,0.0022045717363585737,0.025318076254018607,0.0147382601077517,0.007107602105898891,-0.11395108697919598,0.0035615391821997022
2021-01-08,0.0018294393762907646,0.002374283530075516,0.010240116888862616,0.005476837393516121,-0.0017057664048465426,-0.03688109174802445,0.029388122523537952
2021-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,-0.0028750962063206487,-0.010942312218698902,-0.012619131811073103,-0.006576327616620858,-0.010874280922525514,0.11054189600223241,0.0001917729414255831
2021-01-12,0.001933071909316908,-0.006552257260160843,0.00275768636978313,0.0004157020305690651,0.021525700342932552,-0.03164153450913609,0.01767602801722523
2021-01-13,-0.00026456980996591994,-0.0012741264567086574,0.004314322049834729,0.0022730563867252584,-0.0026884985759991764,-0.04919748607819807,-0.005099642745164612
2021-01-14,-0.002222368694162924,0.00834107068826917,-0.0012431067684950392,-0.00376051306874281,-0.00914147176706237,0.045762535348432554,0.012420182241798194
2021-01-15,-0.005736041310717255,-0.009794918457258106,-0.008742657500700801,-0.0072160007982784435,0.00013260842118434368,0.04581596179503311,-0.023080858115719582
2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,-0.002229423289659138,0.0,0.0,0.008332790449760097,0.0,0.0
2021-01-19,0.0037658213161595455,-0.0011463998814722487,0.015169180537053961,0.008103457635762368,-0.008332242800435097,-0.04624617169330403,0.011796179402438156
2021-01-20,0.008302233543656001,0.004073310899437743,0.019514847552859038,0.013839417376511065,0.004675083368434585,-0.07410796584050638,0.005470163597685929
2021-01-21,-0.00039673582274346586,-0.003715874066045899,0.005458715135175041,0.00031667316131311907,0.010596986722980262,-0.012121371311005547,-0.003014320292922701
2021-01-22,-0.005759085770939976,-0.0030274516524002593,0.0008974978550053692,-0.0030151526629378367,-0.004016023126546031,0.027297561659489045,-0.013678024796100807
2021-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-25,-0.0011937467856490969,-0.008429657733142193,0.006838430841540344,0.003609317513017629,0.004836979708997546,0.05677802765401996,0.009518442319156772
2021-01-26,-0.0007419074935075542,0.0022719051918222988,-0.0007285339563889437,-0.0014899431611539171,-0.01523844311635969,-0.007357751117878841,-0.0032261153324619762
2021-01-27,-0.02070181630110035,-0.013100176498602067,-0.02643307149733154,-0.026013315126100167,0.0010951308042752572,0.4802140945749822,0.0037943509761260152
2021-01-28,0.009857461502381426,-0.006293126824514772,0.0050031033278443715,0.009713298778759594,-0.01926001679100331,-0.20840455266105495,-0.010469306626375463
2021-01-29,-0.020491934641313492,-0.01835569501708001,-0.020181784212885745,-0.019500377654791734,-0.006326912398664675,0.09105816145167989,-0.0019153424740689928
2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0076183708818184925,0.00915034507930379,0.025135282035085638,0.015924300234678057,0.006357697869763257,-0.09006558280233135,0.02629987927536037
2021-02-02,0.01561854642852012,0.007748618475378777,0.01550144365722339,0.013802528814311543,0.008069726459918769,-0.16813693512742756,0.022526801901872506
2021-02-03,0.0011763071010602033,-0.0013667153457603831,-0.00016458200942004453,0.0010082606153449802,-0.004645298100141915,-0.10945511880997527,0.016298803399785733
2021-02-04,0.010756422106506847,-0.000630151713586713,0.012209767886114165,0.010794847643921912,-0.0044020162833486864,-0.05104059353135959,0.009297402928690524
2021-02-05,0.0029702520532737253,-0.0022166391936178087,0.005685725419617427,0.0038899196077633036,-0.001580068721152017,-0.04222013497218846,0.0107975206029991
2021-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0075965290391000195,0.005256405165859235,0.00943406863038021,0.007372107476289358,0.01027696873140016,0.017573424296219553,0.020044244058655458
2021-02-09,-0.00031642562298195287,0.0012409094737044768,0.0014331349732099596,-0.001114145421722057,0.019911708576573872,0.018195015567699535,0.006707394653814092
2021-02-10,0.00197316163333916,-0.001102971207483705,-0.0025139135602483265,-0.00034524452239104164,0.014217593011247587,0.016506592992762137,0.005981390130667563
2021-02-11,-0.00022591798850690736,0.0006588922312946721,0.0038030396381909526,0.001661074814588659,0.0,-0.03423089878779306,-0.008040416252765858
2021-02-12,0.0008809531012072824,0.009315097180428111,0.004957131327172348,0.0046999709261612566,0.0,-0.06212578232655375,0.02174737423410722
2021-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0249228455467172,0.0,0.0,0.0,0.0,0.0
2021-02-16,0.0020434568555209864,-0.0010663007767082178,-0.0034090057648175076,-0.0005694345154143576,0.0,0.07195958149664117,0.009534236310486222
2021-02-17,0.0028595388456036375,-0.0056464585673765555,-0.005855140720896657,-0.0003204533489178374,0.0,0.0018622405931036923,0.0168376377996049
2021-02-18,-0.003792956277827386,-0.01406070633763612,-0.007195634537985995,-0.004425614227242747,0.005530113140657988,0.04501782066055826,-0.011359081720906161
2021-02-19,3.113208992644445e-05,0.0010270678163522007,0.0006560683954610624,-0.0018566190956654793,0.005646346101254807,-0.019758188501749707,-0.021419828300822452
2021-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0008686409199096801,-0.0017829600095637943,-0.024914909813228192,-0.007762892893710571,-0.014642828175167821,0.06155796013459369,0.04222831236345481
2021-02-23,0.0004966823727325931,0.002069739890284694,-0.0050262333458981345,0.0012555296115266401,-0.0016705598058859294,-0.014605076730017874,-0.00016216654539746855
