date,HASH_RATE,DIFFICULTY,MINERS_REV_USD,TX_COUNT,UNIQUE_ADDR,FEES_USD,AVG_BLOCK_SIZE_MB,MED_CONFIRM_TIME,EST_TX_VOL_USD,FEES_USD_PER_TX,AVG_TX_VALUE_USD
2021-01-01,,,,,609741.0,,,,,,
2021-01-02,,,31908499.940662753,297111.0,609741.0,2504284.3156627547,1.3956372450331127,,,8.428783571334467,
2021-01-03,,,31908499.940662753,297111.0,609741.0,2504284.3156627547,1.3956372450331127,,,8.428783571334467,
2021-01-04,159954205.87979275,18599593048299.0,31908499.940662753,297111.0,609741.0,2504284.3156627547,1.3956372450331127,12.883333333333333,7503147813.225784,8.428783571334467,25253.685704082935
2021-01-05,159954205.87979275,18599593048299.0,31908499.940662753,297111.0,845343.0,2504284.3156627547,1.3956372450331127,12.883333333333333,7503147813.225784,8.428783571334467,25253.685704082935
2021-01-06,159954205.87979275,18599593048299.0,43004565.11013959,397384.0,845343.0,4477049.4851396065,1.2936679209039559,12.883333333333333,7503147813.225784,11.26630534983695,18881.35358551372
2021-01-07,159954205.87979275,18599593048299.0,43004565.11013959,397384.0,845343.0,4477049.4851396065,1.2936679209039559,12.883333333333333,7503147813.225784,11.26630534983695,18881.35358551372
2021-01-08,136839436.24398455,18599593048299.0,43004565.11013959,397384.0,845343.0,4477049.4851396065,1.2936679209039559,15.570833333333333,8838843563.36015,11.26630534983695,22242.575351197203
2021-01-09,136839436.24398455,18599593048299.0,43004565.11013959,397384.0,760179.0,4477049.4851396065,1.2936679209039559,15.570833333333333,8838843563.36015,11.26630534983695,22242.575351197203
2021-01-10,136839436.24398455,18599593048299.0,43171347.77742759,331865.0,760179.0,3643194.912175911,1.282691371069182,15.570833333333333,8838843563.36015,10.977942573564283,26633.852811716057
2021-01-11,136839436.24398455,18599593048299.0,43171347.77742759,331865.0,760179.0,3643194.912175911,1.282691371069182,15.570833333333333,8838843563.36015,10.977942573564283,26633.852811716057
2021-01-12,151611247.4016758,20607418304386.0,43171347.77742759,331865.0,760179.0,3643194.912175911,1.282691371069182,18.333333333333336,7357383072.698131,10.977942573564283,22169.807218893617
2021-01-13,151611247.4016758,20607418304386.0,43171347.77742759,331865.0,772596.0,3643194.912175911,1.282691371069182,18.333333333333336,7357383072.698131,10.977942573564283,22169.807218893617
2021-01-14,151611247.4016758,20607418304386.0,42518141.3229426,338809.0,772596.0,5760122.5729426,1.2964830204081637,18.333333333333336,7357383072.698131,17.001090800252058,21715.429851916953
2021-01-15,151611247.4016758,20607418304386.0,42518141.3229426,338809.0,772596.0,5760122.5729426,1.2964830204081637,18.333333333333336,7357383072.698131,17.001090800252058,21715.429851916953
2021-01-16,150586847.08139417,20607418304386.0,42518141.3229426,338809.0,772596.0,5760122.5729426,1.2964830204081637,15.716666666666667,2570302174.9651437,17.001090800252058,7586.286594999377
2021-01-17,150586847.08139417,20607418304386.0,42518141.3229426,338809.0,642730.0,5760122.5729426,1.2964830204081637,15.716666666666667,2570302174.9651437,17.001090800252058,7586.286594999377
2021-01-18,150586847.08139417,20607418304386.0,36250411.753908925,313816.0,642730.0,3085563.262248467,1.3425268551724134,15.716666666666667,2570302174.9651437,9.832396252098258,8190.475230597368
2021-01-19,150586847.08139417,20607418304386.0,36250411.753908925,313816.0,642730.0,3085563.262248467,1.3425268551724134,15.716666666666667,2570302174.9651437,9.832396252098258,8190.475230597368
2021-01-20,144440445.1597046,20607418304386.0,36250411.753908925,313816.0,642730.0,3085563.262248467,1.3425268551724134,11.783333333333333,5094690667.83868,9.832396252098258,16234.642809285315
2021-01-21,144440445.1597046,20607418304386.0,36250411.753908925,313816.0,736588.0,3085563.262248467,1.3425268551724134,11.783333333333333,5094690667.83868,9.832396252098258,16234.642809285315
2021-01-22,144440445.1597046,20607418304386.0,31865792.143227555,326935.0,736588.0,3691982.6629112507,1.283418816901409,11.783333333333333,5094690667.83868,11.292711587658864,15583.191361703948
2021-01-23,144440445.1597046,20607418304386.0,31865792.143227555,326935.0,736588.0,3691982.6629112507,1.283418816901409,11.783333333333333,5094690667.83868,11.292711587658864,15583.191361703948
2021-01-24,143884925.38771522,20823531150112.0,31865792.143227555,326935.0,736588.0,3691982.6629112507,1.283418816901409,10.25,1966307038.6473134,11.292711587658864,6014.3668883640885
2021-01-25,143884925.38771522,20823531150112.0,31865792.143227555,326935.0,732867.0,3691982.6629112507,1.283418816901409,10.25,1966307038.6473134,11.292711587658864,6014.3668883640885
2021-01-26,143884925.38771522,20823531150112.0,35209827.729441255,336935.0,732867.0,2628887.223134517,1.360394142857143,10.25,1966307038.6473134,7.802357199859074,5835.864598950282
2021-01-27,143884925.38771522,20823531150112.0,35209827.729441255,336935.0,732867.0,2628887.223134517,1.360394142857143,10.25,1966307038.6473134,7.802357199859074,5835.864598950282
2021-01-28,150095785.47639358,20823531150112.0,35209827.729441255,336935.0,732867.0,2628887.223134517,1.360394142857143,11.458333333333334,4988231552.939995,7.802357199859074,14804.729555967753
2021-01-29,150095785.47639358,20823531150112.0,35209827.729441255,336935.0,888960.0,2628887.223134517,1.360394142857143,11.458333333333334,4988231552.939995,7.802357199859074,14804.729555967753
2021-01-30,150095785.47639358,20823531150112.0,33651946.62402073,312313.0,888960.0,4717602.895583362,1.3017438382352942,11.458333333333334,4988231552.939995,15.105368318268411,15971.898553502398
2021-01-31,150095785.47639358,20823531150112.0,33651946.62402073,312313.0,888960.0,4717602.895583362,1.3017438382352942,11.458333333333334,4988231552.939995,15.105368318268411,15971.898553502398
2021-02-01,124217201.7735671,20823531150112.0,33651946.62402073,312313.0,888960.0,4717602.895583362,1.3017438382352942,12.770833333333332,4586348228.014149,15.105368318268411,14685.101894619016
2021-02-02,124217201.7735671,20823531150112.0,33651946.62402073,312313.0,865515.0,4717602.895583362,1.3017438382352942,12.770833333333332,4586348228.014149,15.105368318268411,14685.101894619016
2021-02-03,124217201.7735671,20823531150112.0,39131400.439372316,344425.0,865515.0,4914131.689372337,1.301816320000001,12.770833333333332,4586348228.014149,14.267639368142085,13315.956240151409
2021-02-04,124217201.7735671,20823531150112.0,39131400.439372316,344425.0,865515.0,4914131.689372337,1.301816320000001,12.770833333333332,4586348228.014149,14.267639368142085,13315.956240151409
