date,RV,log_RV,y_h1,y_h3,y_h5,y_h7
2021-01-01 00:00:00+00:00,0.0009190105304295876,-6.992212976012021,-5.275324344009528,-4.693742234869481,-5.237357766503671,-4.748714444910111
2021-01-02 00:00:00+00:00,0.005116296997846258,-5.275324344009528,-5.489189259283623,-5.176124011592729,-5.12020947474183,-5.632198062496319
2021-01-03 00:00:00+00:00,0.0041311921415821025,-5.489189259283623,-4.693742234869481,-5.237357766503671,-4.748714444910111,-5.006565914835353
2021-01-04 00:00:00+00:00,0.009152371664463678,-4.693742234869481,-5.176124011592729,-5.12020947474183,-5.632198062496319,-3.5717588723333886
2021-01-05 00:00:00+00:00,0.005649862831270548,-5.176124011592729,-5.237357766503671,-4.748714444910111,-5.006565914835353,-4.635027639244921
2021-01-06 00:00:00+00:00,0.005314279868928079,-5.237357766503671,-5.12020947474183,-5.632198062496319,-3.5717588723333886,-5.019733989960239
2021-01-07 00:00:00+00:00,0.005974771199256634,-5.12020947474183,-4.748714444910111,-5.006565914835353,-4.635027639244921,-5.798331273159521
2021-01-08 00:00:00+00:00,0.008662824585109898,-4.748714444910111,-5.632198062496319,-3.5717588723333886,-5.019733989960239,-5.123208842942798
2021-01-09 00:00:00+00:00,0.0035806960762041957,-5.632198062496319,-5.006565914835353,-4.635027639244921,-5.798331273159521,-5.523139444749561
2021-01-10 00:00:00+00:00,0.006693851135183371,-5.006565914835353,-3.5717588723333886,-5.019733989960239,-5.123208842942798,-5.632652345233119
2021-01-11 00:00:00+00:00,0.028106374653639372,-3.5717588723333886,-4.635027639244921,-5.798331273159521,-5.523139444749561,-5.896224511777778
2021-01-12 00:00:00+00:00,0.009705838771587285,-4.635027639244921,-5.019733989960239,-5.123208842942798,-5.632652345233119,-6.2353551575273265
2021-01-13 00:00:00+00:00,0.006606283812420661,-5.019733989960239,-5.798331273159521,-5.523139444749561,-5.896224511777778,-5.7845427609623306
2021-01-14 00:00:00+00:00,0.0030326111239252235,-5.798331273159521,-5.123208842942798,-5.632652345233119,-6.2353551575273265,-4.8848549282841285
2021-01-15 00:00:00+00:00,0.005956877508808203,-5.123208842942798,-5.523139444749561,-5.896224511777778,-5.7845427609623306,-5.033513280786252
2021-01-16 00:00:00+00:00,0.003993291523204307,-5.523139444749561,-5.632652345233119,-6.2353551575273265,-4.8848549282841285,-5.897939054747267
2021-01-17 00:00:00+00:00,0.0035790697972137974,-5.632652345233119,-5.896224511777778,-5.7845427609623306,-5.033513280786252,-6.452519564350285
2021-01-18 00:00:00+00:00,0.0027498071084613514,-5.896224511777778,-6.2353551575273265,-4.8848549282841285,-5.897939054747267,-5.9514956925353095
2021-01-19 00:00:00+00:00,0.0019589333598360814,-6.2353551575273265,-5.7845427609623306,-5.033513280786252,-6.452519564350285,-5.699763419967707
2021-01-20 00:00:00+00:00,0.0030747159336627153,-5.7845427609623306,-4.8848549282841285,-5.897939054747267,-5.9514956925353095,-5.386117691121717
2021-01-21 00:00:00+00:00,0.007560220455643942,-4.8848549282841285,-5.033513280786252,-6.452519564350285,-5.699763419967707,-5.860563181155252
2021-01-22 00:00:00+00:00,0.006515878199522234,-5.033513280786252,-5.897939054747267,-5.9514956925353095,-5.386117691121717,-4.208984853134658
2021-01-23 00:00:00+00:00,0.0027450964854511214,-5.897939054747267,-6.452519564350285,-5.699763419967707,-5.860563181155252,-5.737749532987939
2021-01-24 00:00:00+00:00,0.0015765449529533389,-6.452519564350285,-5.9514956925353095,-5.386117691121717,-4.208984853134658,-6.348944756121092
2021-01-25 00:00:00+00:00,0.0026019458945021664,-5.9514956925353095,-5.699763419967707,-5.860563181155252,-5.737749532987939,-6.186351889968347
2021-01-26 00:00:00+00:00,0.0033467571387316673,-5.699763419967707,-5.386117691121717,-4.208984853134658,-6.348944756121092,-6.351404842933124
2021-01-27 00:00:00+00:00,0.004579718748619134,-5.386117691121717,-5.860563181155252,-5.737749532987939,-6.186351889968347,-6.439681162503698
2021-01-28 00:00:00+00:00,0.0028496383670524204,-5.860563181155252,-4.208984853134658,-6.348944756121092,-6.351404842933124,-6.047219398469546
2021-01-29 00:00:00+00:00,0.014861447233719342,-4.208984853134658,-5.737749532987939,-6.186351889968347,-6.439681162503698,-6.654689407130495
2021-01-30 00:00:00+00:00,0.0032220111511326952,-5.737749532987939,-6.348944756121092,-6.351404842933124,-6.047219398469546,-6.363369819645627
2021-01-31 00:00:00+00:00,0.0017485913523629282,-6.348944756121092,-6.186351889968347,-6.439681162503698,-6.654689407130495,-6.0477375969760105
2021-02-01 00:00:00+00:00,0.00205731840269185,-6.186351889968347,-6.351404842933124,-6.047219398469546,-6.363369819645627,-4.99536376126352
2021-02-02 00:00:00+00:00,0.001744294952759716,-6.351404842933124,-6.439681162503698,-6.654689407130495,-6.0477375969760105,-5.354292182877035
2021-02-03 00:00:00+00:00,0.0015969157550732348,-6.439681162503698,-6.047219398469546,-6.363369819645627,-4.99536376126352,-5.847772381794635
2021-02-04 00:00:00+00:00,0.0023644274038422657,-6.047219398469546,-6.654689407130495,-6.0477375969760105,-5.354292182877035,-5.885190959699819
2021-02-05 00:00:00+00:00,0.0012879681138849633,-6.654689407130495,-6.363369819645627,-4.99536376126352,-5.847772381794635,-6.19448514390547
2021-02-06 00:00:00+00:00,0.0017235488649881654,-6.363369819645627,-6.0477375969760105,-5.354292182877035,-5.885190959699819,-6.697400750968823
2021-02-07 00:00:00+00:00,0.0023632024784970857,-6.0477375969760105,-4.99536376126352,-5.847772381794635,-6.19448514390547,-6.7083880698461185
2021-02-08 00:00:00+00:00,0.006769258256115145,-4.99536376126352,-5.354292182877035,-5.885190959699819,-6.697400750968823,-6.118741283886201
2021-02-09 00:00:00+00:00,0.004727814740683771,-5.354292182877035,-5.847772381794635,-6.19448514390547,-6.7083880698461185,-5.849515786494725
2021-02-10 00:00:00+00:00,0.002886321623628267,-5.847772381794635,-5.885190959699819,-6.697400750968823,-6.118741283886201,-6.357350124353049
2021-02-11 00:00:00+00:00,0.0027803152454645777,-5.885190959699819,-6.19448514390547,-6.7083880698461185,-5.849515786494725,-7.110535116061835
2021-02-12 00:00:00+00:00,0.002040653571202801,-6.19448514390547,-6.697400750968823,-6.118741283886201,-6.357350124353049,-6.389871941136812
2021-02-13 00:00:00+00:00,0.0012341155099281384,-6.697400750968823,-6.7083880698461185,-5.849515786494725,-7.110535116061835,-6.2162772980388725
2021-02-14 00:00:00+00:00,0.0012206301091416503,-6.7083880698461185,-6.118741283886201,-6.357350124353049,-6.389871941136812,-6.845243924623734
2021-02-15 00:00:00+00:00,0.0022012249362993595,-6.118741283886201,-5.849515786494725,-7.110535116061835,-6.2162772980388725,-5.112240014494727
2021-02-16 00:00:00+00:00,0.0028812939808234113,-5.849515786494725,-6.357350124353049,-6.389871941136812,-6.845243924623734,-3.9431210593676824
2021-02-17 00:00:00+00:00,0.0017339553946271581,-6.357350124353049,-7.110535116061835,-6.2162772980388725,-5.112240014494727,-5.236613152963265
2021-02-18 00:00:00+00:00,0.0008164579744116748,-7.110535116061835,-6.389871941136812,-6.845243924623734,-3.9431210593676824,-5.606515540094866
2021-02-19 00:00:00+00:00,0.0016784711297320445,-6.389871941136812,-6.2162772980388725,-5.112240014494727,-5.236613152963265,-5.022271748100689
2021-02-20 00:00:00+00:00,0.001996664384444389,-6.2162772980388725,-6.845243924623734,-3.9431210593676824,-5.606515540094866,-5.8034820193702545
