day,EMA10,EMA30,EMA200,RSI14,MOM10,ROC10,ATR14,BB_WIDTH,OBV,STOCH_K
2021-01-01,,,,,,,,,,
2021-01-02,29296.354387762487,29264.66103194944,29221.71554595099,58.50797809002136,54.849999999998545,0.001873494543809917,45.13071428571415,0.002742606621043147,2877.3698330000016,93.49887133182779
2021-01-03,32007.871277289945,31988.94230766016,31425.5440576636,46.58748541474387,282.3700000000026,0.008852845313324975,202.51928571428522,0.01912447425184253,18687.87900700001,88.14975569186004
2021-01-04,33185.15380616491,33291.43241075901,33306.349824182274,49.99206768905353,-105.30999999999767,-0.003181055877356398,228.41285714285758,0.025448498038113436,20526.61415299998,40.005000000000294
2021-01-05,31740.9544688641,31492.458572472347,31560.799022320603,74.79584379269792,755.3600000000006,0.024184405451224356,186.77428571428598,0.03502994868541551,10754.013035,95.19869240984787
2021-01-06,33959.04014642746,33945.83448869331,32816.1580756358,38.82643517425503,-183.9300000000003,-0.005388554222162112,200.05214285714257,0.020597725904288097,20638.318535000006,47.17676521081684
2021-01-07,36527.15508187765,36230.274449526114,35125.67584184536,67.5502195422512,414.41999999999825,0.011399276136888181,213.71571428571355,0.026309699605354873,28955.939193000046,82.84499388944448
2021-01-08,39238.44516238515,39287.695458543,38469.7442508936,44.469496021220145,332.27999999999884,0.008498209718670102,390.53428571428594,0.034095784293439145,35431.694984000016,66.85828355296721
2021-01-09,40672.36673243104,40450.70075170158,40153.62694627472,46.58913777232266,79.36999999999534,0.0019595866425170527,213.59857142857072,0.020267651080067804,40668.577463000016,24.798203427892826
2021-01-10,40205.4001775708,40322.11202285736,40428.73226727991,41.838969181477054,-199.23999999999796,-0.004945459455622081,144.4699999999991,0.009399411864313655,37373.37532600004,32.77309195638719
2021-01-11,38336.09859476273,38286.34629361606,38959.28176894732,39.80051951707166,-200.92000000000553,-0.00523898501575204,246.10714285714286,0.023259289184553396,28469.760433000018,28.2875526840802
2021-01-12,35185.11985465641,34587.857906238765,33978.451017170824,70.61397944944804,717.2000000000044,0.020676173132103015,338.7614285714283,0.04828786860673296,23452.493564000015,85.23629620752935
2021-01-13,33805.11071676344,33980.25993936589,34511.397339610245,52.229869852490296,722.7799999999988,0.02168657057661827,422.5499999999998,0.044069913648622366,9996.210710000014,90.02391527160931
2021-01-14,37271.795980304705,37089.77567962239,35523.589224057,56.71613329428656,-29.510000000002037,-0.0007890186570427282,225.78714285714264,0.01570351971605169,13700.69373600002,63.513074410410844
2021-01-15,39040.52155747502,38972.25808115956,38756.463236947005,60.57185234014499,227.9100000000035,0.005856371280217543,215.70071428571464,0.02294805240016396,18494.49903500002,68.81617905354561
2021-01-16,36679.322662466344,36438.730374221035,36760.645483911176,55.58920704845821,264.1600000000035,0.007241613177893846,186.52142857142877,0.018726367745479842,16283.225519000012,70.05217962940154
