date,actual_y_h1,rf_val_y_h1_pred,rf_val_y_h1_m,rf_cv_y_h1_pred,rf_cv_y_h1_m
2024-06-29,-8.047431954150777,-8.467650262700003,127,-8.64065480664,170
2024-06-30,-8.0094388103616,-7.828459155169997,127,-7.819931183460005,170
2024-07-01,-8.415744212880016,-7.510702589163617,127,-7.527253087041507,170
2024-07-02,-7.590110308893971,-7.774572182671222,127,-7.8479656751888,170
2024-07-03,-6.7568326341271066,-7.805579399891354,127,-7.791235926729382,170
2024-07-04,-6.028709939198225,-7.320749629969999,127,-7.096563497240005,170
2024-07-05,-7.82183717488344,-6.751403151931986,127,-6.746986577010003,170
2024-07-06,-7.599232953126869,-7.909449058964887,127,-7.812461956730215,170
2024-07-07,-6.201600022028114,-7.690602618483825,127,-7.762455203789775,170
2024-07-08,-7.13201098663784,-6.525877335323965,127,-6.578582433935339,170
2024-07-09,-7.364155934126495,-7.074000887689224,127,-7.158049015588833,170
2024-07-10,-6.970855511693713,-7.500879806491055,127,-7.559513143161838,170
2024-07-11,-7.461112349654011,-7.230339162696481,127,-7.158715292330891,170
2024-07-12,-8.001579020126183,-7.840884817611265,127,-7.8536012887500695,170
2024-07-13,-7.503141944073601,-7.854704551022929,127,-7.881048178063654,170
2024-07-14,-7.10151927124952,-7.767449624877877,127,-7.679609405498477,170
2024-07-15,-6.875117452289596,-7.2366207950893955,127,-7.2746607017292995,170
2024-07-16,-7.273310670983561,-6.908144913341449,127,-7.003421326651262,170
2024-07-17,-7.590004120123674,-7.354613212634961,127,-7.341555857081891,170
2024-07-18,-7.361953880672214,-7.992238667714226,127,-7.962261656823058,170
2024-07-19,-8.183252874840827,-7.900301883609646,127,-7.79757216955981,170
2024-07-20,-7.540508981035038,-8.13375047356393,127,-8.054864202151574,170
2024-07-21,-7.83106890907229,-7.542405033964635,127,-7.45305344786688,170
2024-07-22,-7.504319171318432,-7.736241108385267,127,-7.792629143033013,170
2024-07-23,-7.715830478728725,-7.4316382741325615,127,-7.514029109716963,170
2024-07-24,-7.111101362030015,-7.596611230357647,127,-7.687114822079218,170
2024-07-25,-7.731151246587125,-7.320957556800543,127,-7.239635094150462,170
2024-07-26,-6.6745965844828605,-7.963520174555908,127,-7.981152919379382,170
2024-07-27,-8.297723232050007,-7.334361135115144,127,-7.250450583899342,170
2024-07-28,-7.220642471062432,-7.5977050750657,127,-7.5836781960145245,170
2024-07-29,-7.567743991658627,-7.314730138358005,127,-7.364715856738517,170
2024-07-30,-7.537578973039193,-7.516126141950606,127,-7.521572844598061,170
2024-07-31,-7.134693601377736,-7.705857030222324,127,-7.723827187256054,170
2024-08-01,-6.728020741506768,-7.226588748270525,127,-7.258955224016084,170
2024-08-02,-7.102715268773577,-7.103979588834887,127,-7.219104597995068,170
2024-08-03,-6.901570663299103,-7.416151324493532,127,-7.188982401290761,170
2024-08-04,-4.331832929576587,-6.945257227955786,127,-6.916700882070731,170
2024-08-05,-6.129507554817753,-5.991692404494237,127,-5.703925587766379,170
2024-08-06,-6.56821202032419,-6.584992314162596,127,-6.549501027434585,170
2024-08-07,-5.881456842610719,-6.720319020712431,127,-6.739198643319279,170
2024-08-08,-6.5521594278707,-6.414211335647314,127,-6.442291051378577,170
2024-08-09,-8.164746233335169,-6.628926498340309,127,-6.619365170053132,170
2024-08-10,-7.347966273268356,-7.518499263744948,127,-7.647816312246603,170
2024-08-11,-6.301581779560638,-7.514427598946655,127,-7.49580622979882,170
2024-08-12,-7.032064393779834,-6.747358967062777,127,-6.697884440836336,170
2024-08-13,-7.145182948564176,-6.9913975372225785,127,-6.865975085319763,170
2024-08-14,-6.782869713050387,-7.342707929820534,127,-7.242292584331516,170
2024-08-15,-6.993243057300741,-6.972580326164879,127,-6.965197584600685,170
2024-08-16,-8.93414336978374,-7.396937284605453,127,-7.4063260055128195,170
2024-08-17,-8.090430304827276,-7.969765600955913,127,-7.96914441895055,170
2024-08-18,-7.395852713362074,-7.425147568560209,127,-7.591994655709922,170
2024-08-19,-7.252727153074581,-7.308757258661737,127,-7.293660069757031,170
2024-08-20,-7.122737507461557,-7.380159225866757,127,-7.386629777172569,170
2024-08-21,-7.663977474896019,-7.139715997184553,127,-7.041645529196348,170
2024-08-22,-6.851098731240136,-7.697294338055489,127,-7.600444110306501,170
2024-08-23,-8.299722443510342,-7.241311248206621,127,-7.339626702648113,170
2024-08-24,-8.590906417273768,-7.815974727937248,127,-7.8085802159595525,170
2024-08-25,-7.848062431939034,-7.387389330918707,127,-7.484740556273839,170
2024-08-26,-6.578074293173222,-7.40383314761497,127,-7.5176387674364715,170
2024-08-27,-6.625319225980788,-7.014109034273897,127,-7.012237613492405,170
2024-08-28,-7.220716390846805,-6.851715847913071,127,-6.9521742289192305,170
2024-08-29,-7.355348084977686,-7.086427760233222,127,-7.180765288608816,170
2024-08-30,-9.250891127347398,-7.5505963487379315,127,-7.4102733382234,170
2024-08-31,-7.427050700993551,-8.058900360234789,127,-8.041581393806936,170
2024-09-01,-7.578986184704846,-7.306020121955194,127,-7.321823307022298,170
2024-09-02,-7.813351757199836,-7.482884586999826,127,-7.548367248283248,170
2024-09-03,-6.5034602127886165,-7.415005304247428,127,-7.394908169604073,170
2024-09-04,-6.940360945467537,-7.091912200791828,127,-7.060717879512822,170
2024-09-05,-6.522114937682515,-7.007477526884722,127,-6.91967613081404,170
2024-09-06,-8.259113009436971,-6.909833902222397,127,-6.905812739259471,170
2024-09-07,-7.6986759889953715,-7.583547430727932,127,-7.737637249826004,170
2024-09-08,-7.142083192560166,-7.336178886846796,127,-7.301085281872264,170
2024-09-09,-7.454039970224542,-7.221938914636674,127,-7.2860205020440345,170
