date,actual_y_h5,rf_val_y_h5_pred,rf_val_y_h5_m,rf_cv_y_h5_pred,rf_cv_y_h5_m
2024-06-29,-6.7568326341271066,-7.6415607619199974,12,-7.526779031000006,14
2024-06-30,-6.028709939198225,-7.750686447902545,12,-7.712015970780002,14
2024-07-01,-7.82183717488344,-8.436994222309998,12,-8.419056056471272,14
2024-07-02,-7.599232953126869,-8.072354190800107,12,-8.013082378297776,14
2024-07-03,-6.201600022028114,-7.575970231878488,12,-7.569222641457218,14
2024-07-04,-7.13201098663784,-7.661293564030104,12,-7.696690516541377,14
2024-07-05,-7.364155934126495,-7.593219405126723,12,-7.488457267005361,14
2024-07-06,-6.970855511693713,-7.548560268852643,12,-7.687554155006483,14
2024-07-07,-7.461112349654011,-7.434284101180731,12,-7.272312557089509,14
2024-07-08,-8.001579020126183,-7.827585791945141,12,-7.936804333097276,14
2024-07-09,-7.503141944073601,-7.7272407176551425,12,-7.618890439030196,14
2024-07-10,-7.10151927124952,-7.3654228735307425,12,-7.282195423840281,14
2024-07-11,-6.875117452289596,-7.22457211847202,12,-7.283315179070875,14
2024-07-12,-7.273310670983561,-7.2956625011672465,12,-7.348584972974803,14
2024-07-13,-7.590004120123674,-7.222594804656498,12,-7.268074607323453,14
2024-07-14,-7.361953880672214,-7.5882846587178605,12,-7.5889404827912665,14
2024-07-15,-8.183252874840827,-7.998695027136296,12,-8.159592404063648,14
2024-07-16,-7.540508981035038,-7.791577289358571,12,-7.766831650750787,14
2024-07-17,-7.83106890907229,-7.041729661300118,12,-7.1671342307671155,14
2024-07-18,-7.504319171318432,-7.385868171627806,12,-7.560169115671263,14
2024-07-19,-7.715830478728725,-7.385107619238243,12,-7.413349313042456,14
2024-07-20,-7.111101362030015,-7.446994543659607,12,-7.34817519984473,14
2024-07-21,-7.731151246587125,-7.320733977777308,12,-7.343629314968793,14
2024-07-22,-6.6745965844828605,-7.950291835859726,12,-8.086413682365809,14
2024-07-23,-8.297723232050007,-7.785540939902355,12,-7.902821429005338,14
2024-07-24,-7.220642471062432,-7.471202466244884,12,-7.1843430557471955,14
2024-07-25,-7.567743991658627,-7.102490709929388,12,-7.253436419358668,14
2024-07-26,-7.537578973039193,-7.252107800187849,12,-7.358492969283259,14
2024-07-27,-7.134693601377736,-7.315318627318298,12,-7.265921538780966,14
2024-07-28,-6.728020741506768,-7.383960618239654,12,-7.37025349150946,14
2024-07-29,-7.102715268773577,-7.567543712239824,12,-7.6267677000736,14
2024-07-30,-6.901570663299103,-7.731452735545229,12,-7.6991263330565145,14
2024-07-31,-4.331832929576587,-7.373826841811831,12,-7.412093790366255,14
2024-08-01,-6.129507554817753,-7.227250484762776,12,-7.350358181930622,14
2024-08-02,-6.56821202032419,-6.96201598186663,12,-7.058764723465816,14
2024-08-03,-5.881456842610719,-7.238660679658675,12,-7.157655745152384,14
2024-08-04,-6.5521594278707,-7.0463511461490524,12,-6.907849527134589,14
2024-08-05,-8.164746233335169,-7.428391664258426,12,-7.36496530205738,14
2024-08-06,-7.347966273268356,-7.188214661542212,12,-7.458177998593449,14
2024-08-07,-6.301581779560638,-6.981028883906819,12,-6.925903199739594,14
