horizon,rf_val_max_features,rf_val_m_count,rf_cv_max_features,rf_cv_m_count
y_h1,0.7226689489062432,127,0.9714143595538947,170
y_h3,0.08266909505945748,14,0.08266909505945748,14
y_h5,0.06955526958101232,12,0.08266909505945748,14
y_h7,0.08266909505945748,14,0.09412789208399784,16
