model,h,rmse,r2,alpha
RIDGE,1,0.7354301707072474,0.3251613807482131,123.2846739442066
RIDGE,3,0.8578641878905343,0.09316761660527051,7220.809018385456
RIDGE,5,0.8359376930793543,0.14615965332602032,4430.621457583878
RIDGE,7,0.7940727249865394,0.22380855269552247,236.4489412645407
