h,rmse,r2,units,epochs
1,0.8157328909419103,0.16974215030510953,64,70
3,0.8793904672985696,0.047086562911015206,128,54
5,1.0281962347586988,-0.29175715081487574,16,37
7,0.8073522007671995,0.19763059207308342,128,50
